$no_asm,$no_8x8dct,$no_cabac,$no_deblock,$no_fast_pskip,$no_mbtree,$no_mixed_refs,$no_weightb,$rc_lookahead,$rc_lookahead_20,$rc_lookahead_40,$rc_lookahead_60,$ref,$ref_1,$ref_5,$ref_9,$<Performance
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,775.540
1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,310.177
1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,279.303
1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,378.283
1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,436.117
1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,611.043
1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,652.653
1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,279.853
1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,734.210
1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,609.200
1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,251.530
1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,254.820
1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,509.523
1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,291.210
1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,680.477
1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,666.687
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,291.633
1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,555.260
1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,809.970
1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,610.687
1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,263.853
1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,275.897
1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,783.783
1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,361.703
1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,256.273
1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,435.977
1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,716.033
1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,275.460
1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,518.800
1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,513.000
1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,456.437
1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,631.283
1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,244.303
1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,476.100
1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,715.747
1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,617.207
1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,476.223
1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,299.843
1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,486.570
1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,362.037
1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,433.860
1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,264.330
1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,482.373
1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,562.183
1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,712.917
1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,299.960
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,279.153
1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,775.680
1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,537.143
1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,486.973
1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,364.497
1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,651.640
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,644.160
1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,482.817
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,644.357
1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,287.050
1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,573.460
1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,286.470
1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,260.480
1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,278.120
1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,269.523
1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,446.250
1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,253.127
1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,266.670
1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,259.903
1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,442.547
1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,450.157
1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,494.597
1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,267.853
1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,544.507
1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,628.150
1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,817.353
1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,652.483
1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,299.813
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,632.943
1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,291.140
1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,555.180
1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,487.583
1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,275.433
1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,304.940
1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,251.823
1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,818.040
1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,275.960
1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,424.490
1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,433.213
1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,493.893
1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,437.933
1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,493.007
1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,492.127
1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,665.223
1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,543.083
1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,588.673
1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,666.503
1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,561.420
1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,247.667
1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,588.200
1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,291.200
1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,809.937
1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,519.583
1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,580.730
1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,257.463
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,279.260
1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,446.633
1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,476.310
1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,556.630
1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,408.607
1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,252.737
1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,275.390
1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,447.627
1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,442.810
1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,712.953
1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,413.880
1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,382.980
1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,729.300
1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,260.617
1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,268.557
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,445.837
1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,261.207
1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,680.727
1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,482.590
1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,511.407
1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,291.237
1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,271.403
1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,257.407
1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,556.513
1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,414.687
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,476.913
1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,426.443
1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,807.017
1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,263.403
1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,494.340
1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,482.080
1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,537.153
1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,263.373
1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,295.367
1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,583.527
1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,305.260
1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,433.153
1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,246.237
1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,279.013
1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,715.907
1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,257.973
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,671.747
1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,256.333
1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,780.790
1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,369.680
1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,555.613
1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,414.243
1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,645.303
1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,429.257
1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,259.840
1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,428.413
1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,537.113
1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,263.207
1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,821.760
1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,726.600
1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,291.173
1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,271.417
1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,295.577
1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,585.350
1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,561.847
1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,270.727
1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,275.417
1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,261.310
1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,425.063
1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,291.577
1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,275.453
1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,427.070
1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,680.647
1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,286.427
1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,509.370
1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,295.353
1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,583.847
1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,437.483
1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,299.677
1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,426.750
1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,456.617
1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,773.220
1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,726.917
1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,780.930
1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,564.147
1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,270.013
1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,299.867
1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,499.270
1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,295.410
1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,665.200
1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,607.700
1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,607.033
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,249.410
1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,277.853
1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,607.537
1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,279.840
1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,485.350
1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,715.583
1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,485.537
1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,775.810
1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,665.293
1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,511.693
1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,368.630
1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,252.630
1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,383.053
1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,445.213
1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,364.760
1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,305.433
1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,433.913
1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,295.360
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,279.193
1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,543.463
1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,721.757
1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,508.983
1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,484.290
1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,561.970
1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,807.273
1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,269.950
1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,428.160
1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,263.920
1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,440.673
1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,413.913
1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,713.673
1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,589.740
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,276.010
1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,379.400
1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,305.443
1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,304.997
1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,310.283
1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,257.927
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,745.443
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,632.827
1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,269.733
1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,476.127
1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,286.327
1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,556.327
1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,310.153
1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,631.583
1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,613.763
1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,291.673
1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,505.857
1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,715.737
1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,613.517
1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,304.960
1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,432.677
1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,486.827
1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,505.637
1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,432.770
1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,249.463
1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,683.420
1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,287.053
1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,257.450
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,536.950
1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,264.380
1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,497.990
1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,645.380
1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,510.890
1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,384.197
1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,773.277
1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,627.240
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,279.150
1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,310.317
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,576.410
1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,295.607
1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,433.223
1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,305.500
1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,244.390
1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,287.107
1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,380.277
1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,270.660
1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,652.373
1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,463.310
1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,521.607
1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,690.717
1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,279.757
1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,780.757
