$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATION,$HAVE_VERIFY,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0.9257
0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0.3881
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.6174
1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,6.5317
1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.9276
0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.4477
0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,2.1453
1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,6.5398
0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.5088
1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,6.5241
1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,3.2881
0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2.1395
1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,21.2980
0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,2.1176
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,3.2838
0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.6378
1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,37.7877
1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,21.3124
1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,37.5939
0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0.5271
0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0.4481
0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.5206
0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.5254
1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,5.8220
0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0.6504
1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,38.8634
1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,3.2251
1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,10.7381
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0.9147
0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.4967
0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0.4501
0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0.7724
0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0.5174
1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,2.0185
0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0.9545
1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,21.2562
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.7736
0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0.5283
1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,2.0686
0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0.9184
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,37.8368
1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,21.1879
0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0.5195
0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.3763
1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.7065
1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,10.7379
0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0.5161
0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0.9212
0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1.3046
0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.4646
1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,38.8427
0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.4480
1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,3.2042
1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.9437
0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2.1050
0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.3831
1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,37.7690
0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2.0940
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,5.8622
1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,2.0748
1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,38.8813
0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0.4933
0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.5180
0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.7715
0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.7750
1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.8926
1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,38.8429
1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,21.2602
0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1.3112
1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2.0843
1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,5.8484
0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1.2617
1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,10.9550
1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,19.9592
0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.5038
1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.9376
0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0.5159
0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0.5803
0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1.2694
1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,5.8296
0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0.3877
1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,21.2341
0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.5194
0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0.6400
0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.7606
0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1.2675
0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.7519
1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,38.9345
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0.6275
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0.9273
0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0.5434
0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0.5268
1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3.2051
0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0.6492
0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.9260
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,3.2095
0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.7549
0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0.6358
1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,2.0282
0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0.4732
1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2.0368
0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.9193
0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0.6466
1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,6.5077
1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,10.9222
0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0.6450
0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.4505
1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,38.9977
0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0.6247
1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,5.8394
0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.7531
0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2.1049
1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,38.9832
0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.5695
0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.4513
1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,21.2188
0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0.6345
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.4976
1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8566
1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,5.8161
1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,38.9368
0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.3849
1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,3.2354
0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.5356
1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,37.6257
1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,6.5152
0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0.5212
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.5368
0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.3671
0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0.6431
1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8709
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.5341
0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1.3077
0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0.4644
1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,37.6229
0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.5151
0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0.9181
0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.4617
0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0.4640
0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0.3671
0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0.3734
1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,37.8200
0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.7475
1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,21.2859
1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.7313
1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,21.2317
0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0.5314
1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2.0237
0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0.6326
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.4790
1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,37.6641
0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0.3644
1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,5.8589
0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.4324
0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1.2558
1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,10.9284
0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.5149
1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,3.2385
1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2.0360
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0.9301
1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,2.0569
1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,38.9627
1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,2.0156
0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0.7836
0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.4629
1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2.0857
0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0.3919
1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,21.2428
1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,5.8643
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1.2577
0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0.7576
0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0.9196
1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,19.9786
0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1.2577
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,3.2849
1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2.0455
0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,2.1719
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.5764
0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0.5149
1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,21.2036
1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,21.2629
1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,6.5263
0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0.4747
0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0.9540
0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0.9211
1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,39.0207
0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.3908
0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.7491
1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,10.7624
0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.7511
0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.4664
0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.7459
0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0.5681
1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,20.0014
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,6.4994
0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.5210
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5254
1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,6.5163
0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0.9248
1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,5.8244
0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0.9215
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,10.7229
1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.9093
0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0.3606
1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,10.7072
1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,3.2370
0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0.5672
0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0.4455
0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.6188
1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,10.7423
0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0.9519
1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,5.8612
1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,37.8129
0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1.2587
0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,2.1505
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,3.2688
1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,10.8925
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2.3889
1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,21.3040
1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,10.9346
0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0.5281
0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0.7592
1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,10.9520
1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,3.2692
1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,10.9415
1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,21.2656
0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.5271
0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0.7522
0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.7597
0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0.4757
0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0.5382
0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.4455
1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,39.0283
1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,39.0284
1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,5.8519
0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,2.1361
0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2.1022
1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.7133
0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.5679
0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5275
1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,21.3011
1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,39.0409
0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.4659
1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,37.6505
0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0.9121
1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10.9189
1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,2.0754
0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1.3138
1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.8994
1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,37.8106
1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,10.7564
1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,39.0060
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0.4780
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,37.7879
0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0.7472
1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,10.9362
1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,19.9724
1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,2.0358
1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,21.2952
0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0.4652
1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2.0378
0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.4987
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,37.7970
0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.4593
1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,6.5121
1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,2.0691
0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0.3652
0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0.7753
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.5346
